CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
808	1104	10	0.9598	-26.011
486	792	10	0.9861	-28.031
510	521	10	0.9519	-46.004
489	515	10	0.997	-0.005
792	1406	10	0.948	-21.984
1392	2319	11	0.9541	-172.072
1453	1813	12	0.8609	-4.028
220	299	12	0.9366	-2.014
1257	1813	12	0.88	8.009
300	1453	12	0.9107	18.010
300	1756	12	0.8721	2.015
1756	1758	12	0.902	2.015
300	1257	12	0.8517	5.973
1257	1484	12	0.8699	174.177
1257	1453	12	0.914	12.037
299	1813	12	0.861	-15.992
300	1820	12	0.8533	13.979
1269	1758	12	0.8566	2.016
254	314	12	0.9337	18.010
314	1676	12	0.8906	-18.009
1253	1480	12	0.8587	-15.994
254	1686	12	0.9051	2.016
1676	1813	12	0.8703	-2.013
254	1257	12	0.9274	-10.021
288	1266	12	0.9925	-2.014
1273	2509	12	0.7698	-162.053
300	1676	12	0.8984	15.995
1758	1759	12	0.8032	-18.011
254	1813	12	0.8895	-2.012
254	300	12	0.924	-15.994
314	1813	12	0.8816	-20.022
299	314	12	0.9338	4.030
1676	1686	12	0.8833	2.014
314	1257	12	0.9902	-28.031
1756	1759	12	0.8326	-15.996
1686	1820	12	0.8828	-4.031
220	314	12	0.9826	2.016
1266	1480	12	0.8606	-11.966
1253	2509	12	0.9025	2.016
220	1813	12	0.882	-18.007
300	1686	12	0.9419	18.010
220	1484	12	0.8714	148.162
1257	1676	12	0.8883	10.023
299	1257	12	0.9327	-24.001
254	1453	12	0.9779	2.016
299	1484	12	0.8464	150.176
220	288	12	0.8775	-162.052
1453	1676	12	0.9254	-2.015
254	1756	12	0.8903	-13.979
1453	1756	12	0.9012	-15.995
1269	1756	12	0.8778	0.001
314	1453	12	0.9192	-15.994
220	1257	12	0.9806	-26.016
288	1480	12	0.8658	-13.979
288	1253	12	0.9949	2.015
314	1273	12	0.8705	2.016
220	254	12	0.9353	-15.994
300	1269	12	0.9711	2.015
220	1453	12	0.9114	-13.979
1269	1686	12	0.9315	15.995
314	1484	12	0.8661	146.146
1453	1686	12	0.8909	-0.000
254	1676	12	0.9424	0.001
254	1269	12	0.9196	-13.979
314	1686	12	0.8655	-15.995
220	1686	12	0.8626	-13.979
220	1676	12	0.8906	-15.993
1253	1266	12	0.9904	-4.029
